,Location,Type,P0,P1,Length,loc_id,idx,L
84,W11/W10,‘§÷∆¡∫MM,"(571525.5594019037, 785559.7352349852)","(571568.4215327346, 785547.7733061848)",44.5,14,3,45
85,W11/W10,‘§÷∆¡∫MM,"(571524.7664201068, 785556.8938128292)","(571567.6285509377, 785544.9318840285)",44.5,14,4,45
86,W11/W10,‘§÷∆¡∫MM,"(571523.9734383097, 785554.0523906728)","(571566.8355691407, 785542.0904618724)",44.5,14,5,45
87,W10/W09,‘§÷∆¡∫AA,"(571571.282075101, 785556.1631689591)","(571614.3079489033, 785544.1555429016)",44.67,15,0,45
88,W10/W09,‘§÷∆¡∫AA,"(571570.489093304, 785553.3217468028)","(571613.5149671064, 785541.3141207454)",44.67,15,1,45
89,W10/W09,‘§÷∆¡∫AA,"(571569.6961115071, 785550.4803246465)","(571612.7219853095, 785538.4726985892)",44.67,15,2,45
90,W10/W09,‘§÷∆¡∫AA,"(571568.9031297102, 785547.6389024904)","(571611.9290035126, 785535.631276433)",44.67,15,3,45
91,W10/W09,‘§÷∆¡∫AA,"(571568.1101479135, 785544.7974803341)","(571611.1360217158, 785532.7898542768)",44.67,15,4,45
92,W10/W09,‘§÷∆¡∫AA,"(571567.3171661166, 785541.9560581779)","(571610.3430399188, 785529.9484321206)",44.67,15,5,45
93,W09/W08,‘§÷∆¡∫AA,"(571615.0198352671, 785546.1111611681)","(571658.0457090699, 785534.1035351115)",44.67,16,0,45
94,W09/W08,‘§÷∆¡∫AA,"(571614.1730919925, 785543.0771002218)","(571657.1989657952, 785531.069474165)",44.67,16,1,45
95,W09/W08,‘§÷∆¡∫AA,"(571613.3263487179, 785540.0430392754)","(571656.3522225206, 785528.0354132185)",44.67,16,2,45
96,W09/W08,‘§÷∆¡∫AA,"(571612.4796054432, 785537.0089783288)","(571655.505479246, 785525.0013522722)",44.67,16,3,45
97,W09/W08,‘§÷∆¡∫AA,"(571611.6328621686, 785533.9749173824)","(571654.6587359713, 785521.9672913256)",44.67,16,4,45
98,W09/W08,‘§÷∆¡∫AA,"(571610.786118894, 785530.9408564359)","(571653.8119926967, 785518.933230379)",44.67,16,5,45
99,W09/W08,‘§÷∆¡∫AA,"(571609.9393756194, 785527.9067954893)","(571652.9652494221, 785515.8991694326)",44.67,16,6,45
100,W08/W07,‘§÷∆¡∫MM,"(571658.5273060454, 785533.9691314161)","(571701.389436876, 785522.0072026151)",44.5,17,0,45
101,W08/W07,‘§÷∆¡∫MM,"(571657.680562771, 785530.9350704697)","(571700.5426936015, 785518.9731416686)",44.5,17,1,45
102,W08/W07,‘§÷∆¡∫MM,"(571656.8338194961, 785527.9010095228)","(571699.6959503269, 785515.9390807222)",44.5,17,2,45
103,W08/W07,‘§÷∆¡∫MM,"(571655.9870762215, 785524.8669485766)","(571698.8492070524, 785512.9050197756)",44.5,17,3,45
104,W08/W07,‘§÷∆¡∫MM,"(571655.1403329469, 785521.8328876302)","(571698.0024637777, 785509.8709588292)",44.5,17,4,45
105,W08/W07,‘§÷∆¡∫MM,"(571654.2935896722, 785518.7988266838)","(571697.1557205031, 785506.8368978827)",44.5,17,5,45
106,W08/W07,‘§÷∆¡∫MM,"(571653.4468463975, 785515.7647657375)","(571696.3089772284, 785503.8028369363)",44.5,17,6,45
107,W07/W06,‘§÷∆¡∫MM,"(571701.8710338518, 785521.8727989203)","(571744.7331646825, 785509.9108701193)",44.5,18,0,45
108,W07/W06,‘§÷∆¡∫MM,"(571701.0242905772, 785518.838737974)","(571743.886421408, 785506.8768091729)",44.5,18,1,45
109,W07/W06,‘§÷∆¡∫MM,"(571700.1775473024, 785515.8046770274)","(571743.0396781332, 785503.8427482265)",44.5,18,2,45
110,W07/W06,‘§÷∆¡∫MM,"(571699.3308040278, 785512.7706160812)","(571742.1929348588, 785500.80868728)",44.5,18,3,45
111,W07/W06,‘§÷∆¡∫MM,"(571698.4840607533, 785509.7365551346)","(571741.346191584, 785497.7746263334)",44.5,18,4,45
112,W07/W06,‘§÷∆¡∫MM,"(571697.6373174787, 785506.7024941881)","(571740.4994483095, 785494.7405653871)",44.5,18,5,45
113,W07/W06,‘§÷∆¡∫MM,"(571696.790574204, 785503.6684332417)","(571739.6527050347, 785491.7065044405)",44.5,18,6,45
114,W06/W05,‘§÷∆¡∫MM,"(571745.2147616581, 785509.7764664248)","(571788.0768924889, 785497.8145376235)",44.5,19,0,45
115,W06/W05,‘§÷∆¡∫MM,"(571744.3680183837, 785506.7424054784)","(571787.2301492143, 785494.7804766773)",44.5,19,1,45
116,W06/W05,‘§÷∆¡∫MM,"(571743.5212751087, 785503.7083445316)","(571786.3834059396, 785491.7464157309)",44.5,19,2,45
117,W06/W05,‘§÷∆¡∫MM,"(571742.6745318342, 785500.6742835854)","(571785.536662665, 785488.7123547842)",44.5,19,3,45
118,W06/W05,‘§÷∆¡∫MM,"(571741.8277885596, 785497.6402226388)","(571784.6899193904, 785485.6782938377)",44.5,19,4,45
119,W06/W05,‘§÷∆¡∫MM,"(571740.9810452849, 785494.6061616924)","(571783.8431761158, 785482.6442328914)",44.5,19,5,45
120,W06/W05,‘§÷∆¡∫MM,"(571740.1343020102, 785491.572100746)","(571782.996432841, 785479.6101719448)",44.5,19,6,45
121,W05/W04,‘§÷∆¡∫AA,"(571788.5584894646, 785497.6801339292)","(571831.5843632672, 785485.6725078722)",44.67,20,0,45
122,W05/W04,‘§÷∆¡∫AA,"(571787.7117461902, 785494.6460729827)","(571830.7376199926, 785482.6384469256)",44.67,20,1,45
123,W05/W04,‘§÷∆¡∫AA,"(571786.8650029153, 785491.6120120361)","(571829.8908767177, 785479.6043859791)",44.67,20,2,45
124,W05/W04,‘§÷∆¡∫AA,"(571786.0182596407, 785488.5779510898)","(571829.0441334432, 785476.5703250328)",44.67,20,3,45
125,W05/W04,‘§÷∆¡∫AA,"(571785.1715163661, 785485.5438901433)","(571828.1973901683, 785473.5362640861)",44.67,20,4,45
126,W05/W04,‘§÷∆¡∫AA,"(571784.3247730914, 785482.5098291968)","(571827.3506468936, 785470.5022031398)",44.67,20,5,45
127,W05/W04,‘§÷∆¡∫AA,"(571783.4780298166, 785479.4757682504)","(571826.5039036189, 785467.4681421933)",44.67,20,6,45
128,W17/W16L,‘§÷∆¡∫AA,"(571281.6047055075, 785637.6677779208)","(571320.0926782865, 785627.0566872921)",39.92391881,21.1,0,40
129,W17/W16L,‘§÷∆¡∫AA,"(571280.9855745959, 785634.7187504027)","(571319.5106599119, 785624.4890943809)",39.86010613,21.1,1,40
130,W17/W16L,‘§÷∆¡∫AA,"(571280.3664436841, 785631.7697228849)","(571318.9286340829, 785621.9214685835)",39.79988243,21.1,2,40
131,W17/W16L,‘§÷∆¡∫AA,"(571279.7473127723, 785628.820695367)","(571318.346600773, 785619.3538097854)",39.74326304,21.1,3,40
132,W17/W16L,‘§÷∆¡∫AA,"(571279.1281818605, 785625.8716678489)","(571317.7645599566, 785616.7861178704)",39.69026242,21.1,4,40
133,W16/W15L,‘§÷∆¡∫MM,"(571320.5752074973, 785626.9236545336)","(571358.8426877325, 785616.37335345)",39.69519992,21.2,0,40
134,W16/W15L,‘§÷∆¡∫MM,"(571319.994237996, 785624.3606887608)","(571358.310019382, 785614.1866097008)",39.64354913,21.2,1,40
135,W16/W15L,‘§÷∆¡∫MM,"(571319.4132634843, 785621.797700884)","(571357.7773907922, 785612.0000291785)",39.5954623,21.2,2,40
136,W16/W15L,‘§÷∆¡∫MM,"(571318.8322839447, 785619.2346908262)","(571357.2448021199, 785609.8136125287)",39.55095788,21.2,3,40
137,W16/W15L,‘§÷∆¡∫MM,"(571318.2512993593, 785616.671658509)","(571356.7122535238, 785607.6273604013)",39.51005345,21.2,4,40
138,W15/W14L,‘§÷∆¡∫DE,"(571359.3249223412, 785616.240401913)","(571397.8623786332, 785605.6156687354)",39.9752485,21.3,0,40
139,W15/W14L,‘§÷∆¡∫DE,"(571358.7933756752, 785614.0582629734)","(571397.3605294146, 785603.8174364245)",39.90363237,21.3,1,40
140,W15/W14L,‘§÷∆¡∫DE,"(571358.2618717254, 785611.8762993957)","(571396.8586801959, 785602.0192041137)",39.8356116,21.3,2,40
141,W15/W14L,‘§÷∆¡∫DE,"(571357.7304106612, 785609.6945118732)","(571396.3568309773, 785600.220971803)",39.77119948,21.3,3,40
142,W15/W14L,‘§÷∆¡∫DE,"(571357.1989926522, 785607.5129011045)","(571395.8549817586, 785598.4227394923)",39.71040836,21.3,4,40
143,W17/W16R,‘§÷∆¡∫AA,"(571278.6300607563, 785623.4990309535)","(571317.2287418625, 785614.422338993)",39.65153868,22.1,0,40
144,W17/W16R,‘§÷∆¡∫AA,"(571278.0134883898, 785620.5621902283)","(571316.5655100765, 785611.4964704866)",39.60360653,22.1,1,40
145,W17/W16R,‘§÷∆¡∫AA,"(571277.3969160231, 785617.6253495029)","(571315.9022782907, 785608.5706019801)",39.55567439,22.1,2,40
146,W16/W15R,‘§÷∆¡∫MM,"(571317.715481247, 785614.3078795522)","(571356.1386254152, 785605.2724660672)",39.47121362,22.2,0,40
147,W16/W15R,‘§÷∆¡∫MM,"(571317.052249461, 785611.3820110458)","(571355.4285945729, 785602.357602616)",39.42313802,22.2,1,40
148,W16/W15R,‘§÷∆¡∫MM,"(571316.3890176751, 785608.4561425394)","(571354.7185637307, 785599.4427391649)",39.37506243,22.2,2,40
149,W15/W14R,‘§÷∆¡∫DE,"(571356.6253645247, 785605.1580066913)","(571395.2029249194, 785596.086281382)",39.62984186,22.3,0,40
150,W15/W14R,‘§÷∆¡∫DE,"(571355.9153336824, 785602.2431432398)","(571394.3958179977, 785593.1942459043)",39.53011784,22.3,1,40
151,W15/W14R,‘§÷∆¡∫DE,"(571355.2053028401, 785599.3282797888)","(571393.5887110761, 785590.3022104268)",39.43039381,22.3,2,40
152,SA/R1-1,‘§÷∆¡∫SS,"(570917.901794873, 785548.7297167062)","(570938.6355325772, 785574.1968199594)",32.83993342,24,0,35
153,SA/R1-1,‘§÷∆¡∫SS,"(570920.3058198466, 785546.7725085093)","(570941.0395575508, 785572.2396117625)",32.83993342,24,1,35
154,R1-5/R1-6,‘§÷∆¡∫SS,"(571109.3014061683, 785661.3796936087)","(571145.9425477594, 785649.0516615193)",38.65945722,25,0,40
155,R1-5/R1-6,‘§÷∆¡∫SS,"(571107.9599287193, 785658.8006321422)","(571145.659565438, 785647.4394245299)",39.37435266,25,1,40
156,R1-5/R1-6,‘§÷∆¡∫SS,"(571106.6184512706, 785656.2215706758)","(571145.3765831167, 785645.8271875407)",40.12774582,25,2,40
157,R1-5/R1-6,‘§÷∆¡∫SS,"(571105.5379982078, 785653.5550781898)","(571145.0936007955, 785644.2149505515)",40.64337191,25,3,40
158,R1-5/R1-6,‘§÷∆¡∫SS,"(571105.0553852766, 785650.6883370868)","(571144.8106184741, 785642.6027135622)",40.56914929,25,4,40
159,R1-5/R1-6,‘§÷∆¡∫SS,"(571104.572772346, 785647.8215959836)","(571144.5276361528, 785640.990476573)",40.53461896,25,5,40
160,R1-6/R1-7,‘§÷∆¡∫AA,"(571145.9628218112, 785648.2416647719)","(571189.8771894663, 785640.0466527531)",44.67247372,26,0,45
161,R1-6/R1-7,‘§÷∆¡∫AA,"(571145.4441556977, 785645.2866650061)","(571189.3583542601, 785637.0916845422)",44.67230171,26,1,45
162,R1-6/R1-7,‘§÷∆¡∫AA,"(571144.9254895843, 785642.3316652402)","(571188.8395190539, 785634.1367163314)",44.6721297,26,2,45
163,R1-7/R1-8,‘§÷∆¡∫MM,"(571190.368732353, 785639.9549242354)","(571234.0885261633, 785631.7962223146)",44.4745409,27,0,45
